# RA	DEC
-100.985688 -20.879806
-100.866028 -20.715282
-100.746735 -20.550607
-100.627807 -20.385782
-100.509241 -20.220809
-100.391034 -20.055688
-100.273183 -19.890421
-100.155685 -19.725009
-100.038538 -19.559453
-99.921739 -19.393755
-99.805284 -19.227914
-99.689173 -19.061933
-99.573401 -18.895813
-99.457966 -18.729554
-99.342866 -18.563157
-99.228097 -18.396625
-99.113658 -18.229957
-98.999545 -18.063155
-98.885756 -17.896220
-98.772289 -17.729152
-98.659140 -17.561954
-98.546308 -17.394626
-98.433789 -17.227168
-98.321581 -17.059583
-98.209682 -16.891870
-98.098089 -16.724032
-97.986799 -16.556068
-97.875811 -16.387980
-97.765121 -16.219769
-97.654728 -16.051436
-97.544628 -15.882982
-97.434819 -15.714407
-97.325300 -15.545713
-97.216067 -15.376901
-97.107117 -15.207971
-97.044869 -15.245278
-96.982597 -15.282568
-96.920304 -15.319842
-96.857989 -15.357097
-96.795651 -15.394336
-96.733291 -15.431557
-96.670909 -15.468761
-96.608504 -15.505947
-96.546077 -15.543116
-96.483627 -15.580267
-96.421155 -15.617400
-96.358660 -15.654516
-96.296142 -15.691614
-96.233602 -15.728695
-96.171039 -15.765757
-96.108453 -15.802802
-96.045844 -15.839829
-95.983212 -15.876837
-95.920557 -15.913828
-95.857879 -15.950801
-95.795178 -15.987755
-95.732454 -16.024692
-95.669706 -16.061610
-95.606935 -16.098510
-95.544141 -16.135391
-95.481324 -16.172255
-95.418483 -16.209099
-95.355618 -16.245926
-95.292730 -16.282733
-95.229819 -16.319523
-95.166884 -16.356293
-95.103925 -16.393045
-95.040942 -16.429778
-94.977935 -16.466492
-94.914905 -16.503188
-94.851851 -16.539864
-94.788773 -16.576522
-94.725670 -16.613161
-94.662544 -16.649780
-94.599393 -16.686381
-94.536219 -16.722962
-94.473020 -16.759524
-94.409797 -16.796067
-94.346549 -16.832591
-94.283277 -16.869095
-94.219981 -16.905580
-94.156660 -16.942045
-94.093315 -16.978491
-94.029945 -17.014917
-93.966550 -17.051324
-93.903130 -17.087711
-93.839686 -17.124078
-93.776217 -17.160426
-93.712723 -17.196753
-93.649205 -17.233061
-93.585661 -17.269349
-93.522092 -17.305617
-93.458498 -17.341864
-93.394880 -17.378092
-93.331235 -17.414300
-93.267566 -17.450487
-93.203872 -17.486654
-93.140152 -17.522801
-93.076406 -17.558927
-93.012635 -17.595034
-92.948839 -17.631119
-92.885017 -17.667184
-92.821170 -17.703229
-92.757297 -17.739253
-92.693398 -17.775256
-92.629474 -17.811238
-92.565524 -17.847200
-92.501548 -17.883141
-92.437546 -17.919061
-92.373518 -17.954960
-92.309464 -17.990838
-92.245384 -18.026695
-92.181278 -18.062531
-92.117145 -18.098346
-92.052987 -18.134140
-91.988802 -18.169912
-91.924591 -18.205663
-91.860354 -18.241393
-91.796090 -18.277101
-91.731800 -18.312788
-91.667483 -18.348453
-91.603140 -18.384096
-91.538770 -18.419718
-91.474374 -18.455319
-91.409951 -18.490897
-91.345501 -18.526454
-91.281024 -18.561989
-91.216520 -18.597502
-91.151990 -18.632993
-91.087432 -18.668462
-91.022848 -18.703909
-90.958236 -18.739334
-90.893598 -18.774737
-90.828932 -18.810117
-90.563197 -18.373150
-90.299018 -17.935700
-90.036353 -17.497779
-89.775164 -17.059400
-89.515410 -16.620574
-89.257052 -16.181313
-89.000053 -15.741627
-88.744374 -15.301528
-88.489978 -14.861026
-88.236828 -14.420133
-87.984888 -13.978858
-87.734123 -13.537213
-87.484496 -13.095206
-87.235972 -12.652849
-86.988518 -12.210150
-86.742100 -11.767121
-86.496682 -11.323769
-86.252233 -10.880105
-86.008718 -10.436138
-85.766106 -9.991877
-85.524364 -9.547331
-85.283460 -9.102509
-85.043362 -8.657420
-84.804040 -8.212072
-84.565461 -7.766474
-84.327595 -7.320635
-84.090412 -6.874562
-83.853881 -6.428265
-83.617972 -5.981751
-83.382655 -5.535029
-83.147900 -5.088106
-82.913678 -4.640990
-82.679960 -4.193690
-82.446716 -3.746213
-82.213917 -3.298567
-81.981535 -2.850760
-81.749540 -2.402799
-81.517904 -1.954692
-81.286599 -1.506446
-81.055596 -1.058069
-80.824866 -0.609568
-80.594382 -0.160952
-80.364115 0.287774
-80.134037 0.736601
-79.904119 1.185523
-79.674335 1.634531
-79.444654 2.083619
-79.215051 2.532780
-78.985495 2.982005
-78.755959 3.431289
-78.526415 3.880624
-78.296835 4.330002
-78.067190 4.779416
-77.837451 5.228860
-77.607591 5.678325
-77.377581 6.127805
-77.147391 6.577293
-76.916994 7.026781
-76.686360 7.476261
-76.455459 7.925728
-76.224264 8.375172
-75.992743 8.824588
-75.760868 9.273967
-75.528609 9.723303
-75.295935 10.172587
-75.062817 10.621812
-74.829223 11.070971
-74.595123 11.520056
-74.360486 11.969060
-74.125280 12.417974
-73.889473 12.866790
-73.653034 13.315502
-73.415930 13.764101
-73.178128 14.212578
-72.939595 14.660927
-72.700299 15.109138
-72.460203 15.557204
-72.219276 16.005116
-71.977481 16.452865
-71.734783 16.900443
-71.491147 17.347842
-71.246537 17.795052
-71.000915 18.242064
-70.754245 18.688870
-70.506488 19.135460
-70.257607 19.581825
-70.007561 20.027956
-69.756313 20.473843
-69.503820 20.919475
-69.250043 21.364844
-68.994939 21.809938
-68.738467 22.254749
-68.480583 22.699264
-68.221243 23.143474
-67.960402 23.587368
-67.698016 24.030934
-67.434037 24.474161
-67.168419 24.917038
-66.901113 25.359553
-66.842307 25.330423
-66.783529 25.301269
-66.724779 25.272092
-66.666058 25.242891
-66.607364 25.213668
-66.548699 25.184421
-66.490062 25.155151
-66.431453 25.125858
-66.372873 25.096542
-66.314320 25.067203
-66.255796 25.037841
-66.197299 25.008456
-66.138830 24.979048
-66.080390 24.949618
-66.021977 24.920164
-65.963592 24.890688
-65.905236 24.861189
-65.846907 24.831668
-65.788605 24.802124
-65.730332 24.772557
-65.672086 24.742968
-65.613868 24.713356
-65.555678 24.683722
-65.497516 24.654065
-65.439381 24.624386
-65.381273 24.594685
-65.323194 24.564961
-65.265142 24.535216
-65.207117 24.505447
-65.149120 24.475657
-65.091150 24.445845
-65.033208 24.416010
-64.975293 24.386154
-64.917405 24.356276
-64.859545 24.326375
-64.801712 24.296453
-64.743907 24.266509
-64.686128 24.236542
-64.628377 24.206555
-64.570653 24.176545
-64.512956 24.146514
-64.455287 24.116460
-64.397644 24.086386
-64.340028 24.056290
-64.282440 24.026172
-64.224878 23.996032
-64.167344 23.965872
-64.109836 23.935689
-64.052355 23.905486
-63.994901 23.875261
-63.937474 23.845014
-63.880074 23.814747
-63.822701 23.784458
-63.765354 23.754148
-63.708034 23.723817
-63.650740 23.693465
-63.593474 23.663091
-63.536234 23.632697
-63.479020 23.602281
-63.421833 23.571845
-63.364673 23.541388
-63.307539 23.510910
-63.250431 23.480411
-63.193350 23.449891
-63.136295 23.419351
-63.079267 23.388789
-63.022264 23.358208
-62.965289 23.327605
-62.908339 23.296982
-62.851416 23.266338
-62.794519 23.235674
-62.737648 23.204990
-62.680803 23.174285
-62.623984 23.143559
-62.567191 23.112813
-62.510424 23.082047
-62.453683 23.051261
-62.396969 23.020454
-62.340280 22.989627
-62.283617 22.958780
-62.226979 22.927913
-62.170368 22.897026
-62.113783 22.866119
-62.057223 22.835192
-62.000689 22.804244
-61.944180 22.773277
-61.887697 22.742290
-61.831240 22.711284
-61.774809 22.680257
-61.718402 22.649211
-61.662022 22.618144
-61.605667 22.587059
-61.549337 22.555953
-61.493033 22.524828
-61.436754 22.493683
-61.380501 22.462519
-61.324272 22.431336
-61.268069 22.400132
-61.211892 22.368910
-61.491980 21.936379
-61.770155 21.503258
-62.046462 21.069560
-62.320948 20.635300
-62.593656 20.200490
-62.864631 19.765145
-63.133917 19.329278
-63.401557 18.892900
-63.667591 18.456026
-63.932062 18.018666
-64.195011 17.580834
-64.456477 17.142541
-64.716500 16.703799
-64.975119 16.264619
-65.232373 15.825013
-65.488299 15.384991
-65.742936 14.944565
-65.996319 14.503745
-66.248485 14.062542
-66.499471 13.620966
-66.749311 13.179027
-66.998041 12.736736
-67.245695 12.294101
-67.492307 11.851133
-67.737912 11.407842
-67.982543 10.964237
-68.226232 10.520326
-68.469013 10.076120
-68.710917 9.631628
-68.951978 9.186857
-69.192226 8.741818
-69.431693 8.296519
-69.670410 7.850968
-69.908409 7.405173
-70.145719 6.959145
-70.382371 6.512889
-70.618396 6.066416
-70.853823 5.619732
-71.088682 5.172847
-71.323003 4.725767
-71.556814 4.278501
-71.790146 3.831057
-72.023027 3.383443
-72.255486 2.935666
-72.487552 2.487733
-72.719254 2.039653
-72.950619 1.591433
-73.181678 1.143080
-73.412457 0.694603
-73.642985 0.246007
-73.873292 -0.202698
-74.103403 -0.651507
-74.333349 -1.100411
-74.563157 -1.549404
-74.792855 -1.998477
-75.022471 -2.447625
-75.252034 -2.896838
-75.481571 -3.346112
-75.711111 -3.795437
-75.940682 -4.244807
-76.170313 -4.694215
-76.400032 -5.143654
-76.629866 -5.593116
-76.859846 -6.042594
-77.090000 -6.492080
-77.320355 -6.941569
-77.550942 -7.391051
-77.781790 -7.840521
-78.012927 -8.289970
-78.244384 -8.739392
-78.476189 -9.188779
-78.708373 -9.638123
-78.940966 -10.087418
-79.173998 -10.536655
-79.407499 -10.985827
